Datetime,Ticker,Sentiment,Prob_Positive,Prob_Neutral,Prob_Negative
2025-06-14T09:30:10-07:00,TSLA,negative,0.0017555952072143555,0.0,0.9982444047927856
2025-06-14T09:30:00-07:00,TSLA,positive,0.9969311952590942,0.0,0.0030688047409057617
2025-06-14T09:15:00-07:00,TSLA,negative,0.0044362545013427734,0.0,0.9955637454986572
2025-06-14T05:10:00-07:00,TSLA,negative,0.005589306354522705,0.0,0.9944106936454773
2025-06-14T00:23:00-07:00,TSLA,positive,0.9923032522201538,0.0,0.007696747779846191
2025-06-13T21:01:48-07:00,TSLA,negative,0.0033126473426818848,0.0,0.9966873526573181
2025-06-13T20:45:00-07:00,TSLA,positive,0.5123608112335205,0.0,0.4876391887664795
2025-06-13T20:32:09-07:00,TSLA,negative,0.0029590725898742676,0.0,0.9970409274101257
2025-06-13T20:15:20-07:00,TSLA,negative,0.1980196237564087,0.0,0.8019803762435913
2025-06-13T18:31:42-07:00,TSLA,positive,0.9987278580665588,0.0,0.0012721419334411621
2025-06-13T17:33:00-07:00,TSLA,negative,0.14672255516052246,0.0,0.8532774448394775
2025-06-13T17:16:54-07:00,TSLA,negative,0.048983991146087646,0.0,0.9510160088539124
2025-06-13T17:11:09-07:00,TSLA,negative,0.028950512409210205,0.0,0.9710494875907898
2025-06-13T17:11:09-07:00,TSLA,negative,0.01325446367263794,0.0,0.9867455363273621
2025-06-13T17:00:34-07:00,TSLA,negative,0.20074868202209473,0.0,0.7992513179779053
2025-06-13T17:00:02-07:00,TSLA,negative,0.10754835605621338,0.0,0.8924516439437866
2025-06-13T16:50:48-07:00,TSLA,positive,0.9191589951515198,0.0,0.08084100484848022
2025-06-13T16:32:00-07:00,TSLA,negative,0.0287969708442688,0.0,0.9712030291557312
2025-06-13T16:15:36-07:00,TSLA,negative,0.016362428665161133,0.0,0.9836375713348389
2025-06-13T16:13:00-07:00,TSLA,positive,0.996494472026825,0.0,0.003505527973175049
2025-06-13T16:10:12-07:00,TSLA,positive,0.989794135093689,0.0,0.010205864906311035
2025-06-13T14:22:07-07:00,TSLA,negative,0.005087614059448242,0.0,0.9949123859405518
2025-06-13T13:53:20-07:00,TSLA,negative,0.001620650291442871,0.0,0.9983793497085571
2025-06-13T10:38:22-07:00,TSLA,negative,0.0004292130470275879,0.0,0.9995707869529724
2025-06-13T13:23:59-07:00,TSLA,negative,0.001023411750793457,0.0,0.9989765882492065
2025-06-13T13:06:32-07:00,TSLA,negative,0.0016628503799438477,0.0,0.9983371496200562
2025-06-13T12:54:00-07:00,TSLA,negative,0.004315614700317383,0.0,0.9956843852996826
2025-06-13T12:15:23-07:00,TSLA,positive,0.827892005443573,0.0,0.172107994556427
2025-06-13T12:00:00-07:00,TSLA,positive,0.9951820969581604,0.0,0.0048179030418396
2025-06-13T10:50:09-07:00,TSLA,positive,0.8520126342773438,0.0,0.14798736572265625
2025-06-13T10:44:39-07:00,TSLA,negative,0.0012968778610229492,0.0,0.998703122138977
2025-06-13T10:39:34-07:00,TSLA,positive,0.9987490177154541,0.0,0.0012509822845458984
2025-06-13T10:30:04-07:00,TSLA,positive,0.9133617281913757,0.0,0.08663827180862427
